Filière,Produit,Production_Tonnes,year
oléagineuses,Tournesol,52378.2,2015
palmiers-dattiers,Palmier Dattier,100376.325416167,2015
rosacées,Abricotier,103954.52,2015
rosacées,Autres Plantations Fruitières,49432.5,2015
rosacées,Avocatier,42732.0,2015
rosacées,Caroubier,60400.0,2015
rosacées,Cerisier,18728.6,2015
rosacées,Cognassier,47678.3,2015
rosacées,Figuier,150110.8248,2015
rosacées,Grenadier,131956.79,2015
rosacées,Noyer,16735.71,2015
rosacées,Néflier,5881.2,2015
rosacées,Pacanier,218.5,2015
rosacées,Pistachier,131.8,2015
rosacées,Poirier,45980.69,2015
rosacées,Prunier,123210.614166505,2015
rosacées,Pêcher Nectarine,91468.9,2015
vignes,Raisin De Cuve,125084.495,2015
agrumes,Autres Agrumes,11173.8298714987,2016
agrumes,Citron,36308.7781971292,2016
agrumes,Orange Autres,27980.7993149842,2016
agrumes,Orange Navel Lane Late,15125.0135202441,2016
agrumes,Orange Navel Late,5626.85328056178,2016
agrumes,Orange Navelina,283.394235871344,2016
agrumes,Orange Salustiana,22985.1135795768,2016
agrumes,Orange Washignton Sanguine,78994.6392354422,2016
agrumes,Pamplemousse,548.283334201423,2016
agrumes,Petit Fruit Autres,75539.116558574,2016
agrumes,Petit Fruit Fortune,916.982777497991,2016
agrumes,Petit Fruit Nador Cott,135478.638702838,2016
agrumes,Petit Fruit Nour,160064.385800579,2016
agrumes,Petit Fruit Nova,18134.3070745252,2016
agrumes,Petit Fruit Nules,123881.839290661,2016
agrumes,Petit Fruit Ortanique,20309.0862574994,2016
amandiers,Amandier,112680.53354807,2016
céréales,Autres Céréales,1148.0,2016
céréales,Avoine,15123.0,2016
céréales,Mais,128762.7,2016
céréales,Riz,53353.8,2016
céréales,Sorgho,1818.0,2016
fourragères,Autres Cultures Fourragères,35766.0,2016
fourragères,Lupin,32810.0,2016
fourragères,Mélange Fourrager,105837.0,2016
fourragères,Pois Fourrager,24860.0,2016
fourragères,Sorgho Fourrager,94010.5,2016
fourragères,Triticale,5347.5,2016
fourragères,Vesce Avoine,40670.0,2016
industrielles,Autres Cultures Industrielles,703.6,2016
industrielles,Cannabis,15000.0,2016
industrielles,Coriandre Récoltée,500.0,2016
industrielles,Câprier,34286.0,2016
industrielles,Henné,203.0,2016
industrielles,Piment De Cayenne,26.0,2016
industrielles,Rosier,642.56,2016
industrielles,Safran,4.206,2016
industrielles,Tabac,725.0,2016
légumineuses,Autres Légumineuses,17789.4,2016
légumineuses,Fève,26564.45,2016
légumineuses,Féverole,11846.7,2016
légumineuses,Lentille,2003.5,2016
légumineuses,Orobe,387.0,2016
légumineuses,Petit Pois,6342.75,2016
légumineuses,Pois Chiche,44062.47,2016
maraîchage,Ail,12562.0,2016
maraîchage,Artichaut,44144.0,2016
maraîchage,Asperge,370.0,2016
maraîchage,Aubergine,22720.5,2016
maraîchage,Autres Cultures Maraichères,177354.0,2016
maraîchage,Betterave Potager,19109.0,2016
maraîchage,Choux Fleur,60437.0,2016
