date,Produit,Production_tonnes
1969-01-01,Coings,300.0
1970-01-01,Coings,400.0
1971-01-01,Coings,600.0
1972-01-01,Coings,800.0
1973-01-01,Coings,1000.0
1974-01-01,Coings,1200.0
1975-01-01,Coings,1400.0
1976-01-01,Coings,1600.0
1977-01-01,Coings,1800.0
1978-01-01,Coings,2000.0
1979-01-01,Coings,2500.0
1980-01-01,Coings,3000.0
1981-01-01,Coings,3000.0
1982-01-01,Coings,3000.0
1983-01-01,Coings,5000.0
1984-01-01,Coings,7000.0
1985-01-01,Coings,8000.0
1986-01-01,Coings,8000.0
1987-01-01,Coings,8000.0
1988-01-01,Coings,16000.0
1989-01-01,Coings,17000.0
1990-01-01,Coings,22700.0
1991-01-01,Coings,24500.0
1992-01-01,Coings,24000.0
1993-01-01,Coings,22200.0
1994-01-01,Coings,28000.0
1995-01-01,Coings,20000.0
1996-01-01,Coings,25900.0
1997-01-01,Coings,24500.0
1998-01-01,Coings,29500.0
1999-01-01,Coings,30900.0
2000-01-01,Coings,20100.0
2001-01-01,Coings,24900.0
2002-01-01,Coings,28100.0
2003-01-01,Coings,29900.0
2004-01-01,Coings,39000.0
2005-01-01,Coings,30100.0
2006-01-01,Coings,28000.0
2007-01-01,Coings,35106.0
2008-01-01,Coings,33133.0
2009-01-01,Coings,38714.0
2010-01-01,Coings,36240.0
2011-01-01,Coings,31994.0
2012-01-01,Coings,46000.0
2013-01-01,Coings,46479.55
2014-01-01,Coings,45881.7
2015-01-01,Coings,47678.3
2016-01-01,Coings,32087.2
2017-01-01,Coings,45745.7
2018-01-01,Coings,59443.88
2019-01-01,Coings,39600.7
2020-01-01,Coings,57700.0
2021-01-01,Coings,54641.0
2022-01-01,Coings,50688.5
2023-01-01,Coings,43522.7
1961-01-01,"Concombres, cornichons",1500.0
1962-01-01,"Concombres, cornichons",1500.0
1963-01-01,"Concombres, cornichons",1500.0
1964-01-01,"Concombres, cornichons",1000.0
1965-01-01,"Concombres, cornichons",1000.0
1966-01-01,"Concombres, cornichons",1500.0
1967-01-01,"Concombres, cornichons",1500.0
1968-01-01,"Concombres, cornichons",1500.0
1969-01-01,"Concombres, cornichons",1500.0
1970-01-01,"Concombres, cornichons",1500.0
1971-01-01,"Concombres, cornichons",1500.0
1972-01-01,"Concombres, cornichons",1500.0
1973-01-01,"Concombres, cornichons",1500.0
1974-01-01,"Concombres, cornichons",1500.0
1975-01-01,"Concombres, cornichons",1500.0
1976-01-01,"Concombres, cornichons",1500.0
1977-01-01,"Concombres, cornichons",1500.0
1978-01-01,"Concombres, cornichons",1000.0
1979-01-01,"Concombres, cornichons",1500.0
1980-01-01,"Concombres, cornichons",2000.0
1981-01-01,"Concombres, cornichons",2500.0
1982-01-01,"Concombres, cornichons",3000.0
1983-01-01,"Concombres, cornichons",4000.0
1984-01-01,"Concombres, cornichons",5000.0
1985-01-01,"Concombres, cornichons",6000.0
1986-01-01,"Concombres, cornichons",10000.0
1987-01-01,"Concombres, cornichons",15000.0
1988-01-01,"Concombres, cornichons",17500.0
1989-01-01,"Concombres, cornichons",21800.0
1990-01-01,"Concombres, cornichons",37421.0
1991-01-01,"Concombres, cornichons",30210.0
1992-01-01,"Concombres, cornichons",16165.0
1993-01-01,"Concombres, cornichons",19200.0
1994-01-01,"Concombres, cornichons",26125.0
1995-01-01,"Concombres, cornichons",23340.0
1996-01-01,"Concombres, cornichons",34410.0
1997-01-01,"Concombres, cornichons",29300.0
1998-01-01,"Concombres, cornichons",36215.0
1999-01-01,"Concombres, cornichons",26020.0
2000-01-01,"Concombres, cornichons",23980.0
2001-01-01,"Concombres, cornichons",36320.0
2002-01-01,"Concombres, cornichons",45200.0
2003-01-01,"Concombres, cornichons",46300.0
2004-01-01,"Concombres, cornichons",40945.0
2005-01-01,"Concombres, cornichons",54262.0
2006-01-01,"Concombres, cornichons",69900.0
2007-01-01,"Concombres, cornichons",75330.0
2008-01-01,"Concombres, cornichons",88715.0
2009-01-01,"Concombres, cornichons",34560.0
2010-01-01,"Concombres, cornichons",114628.0
2011-01-01,"Concombres, cornichons",51224.0
2012-01-01,"Concombres, cornichons",55335.0
2013-01-01,"Concombres, cornichons",48246.2
2014-01-01,"Concombres, cornichons",55439.25
2015-01-01,"Concombres, cornichons",55478.5
2016-01-01,"Concombres, cornichons",42383.0
2017-01-01,"Concombres, cornichons",48735.0
2018-01-01,"Concombres, cornichons",47787.0
2019-01-01,"Concombres, cornichons",57448.0
2020-01-01,"Concombres, cornichons",46415.6
2021-01-01,"Concombres, cornichons",59851.0
2022-01-01,"Concombres, cornichons",63155.0
2023-01-01,"Concombres, cornichons",84307.6
1961-01-01,Figues,77000.0
1962-01-01,Figues,66000.0
1963-01-01,Figues,61000.0
1964-01-01,Figues,96000.0
1965-01-01,Figues,79000.0
1966-01-01,Figues,65000.0
1967-01-01,Figues,65000.0
1968-01-01,Figues,65000.0
1969-01-01,Figues,65000.0
1970-01-01,Figues,67000.0
1971-01-01,Figues,67000.0
1972-01-01,Figues,67000.0
1973-01-01,Figues,67000.0
1974-01-01,Figues,67000.0
1975-01-01,Figues,69000.0
1976-01-01,Figues,69300.0
1977-01-01,Figues,68000.0
